SSBB	MLBAM	NL	pos	h	age	team	firstName	lastName	1B	2B	3B	SS	OF	osbAL	ocsAL	osbNL	ocsNL	BAvR	OBvR	SLvR	BAvL	OBvL	SLvL
1720	691775	720	OF	L	22	NYN	Ryan	Clifford					2.10					3	7	13	-12	-23	-45
1721	701807	721	OF	L	23	NYN	Carson	Benge					2.10					3	7	13	-12	-23	-45
1722	805999	722	OF	L	21	NYN	A.J.	Ewing					2.10					3	7	13	-12	-23	-45
1723	703492	723	OF	R	22	NYN	Nick	Morabito					2.10					-2	-5	-5	4	11	12
1724	702222	724	OF	L	22	Phi	Justin	Crawford					2.10					3	7	13	-12	-23	-45
1725	687282	725	OF	L	25	Phi	Gabriel	Rincones					2.10					3	7	13	-12	-23	-45
1726	836353	726	OF	R	17	Phi	Francisco	Renteria					2.10					-2	-5	-5	4	11	12
1727	699013	727	OF	R	22	Pit	Esmerlyn	Valdez					2.10					-2	-5	-5	4	11	12
1728	821273	728	OF	L	19	Pit	Edward	Florentino					2.10					3	7	13	-12	-23	-45
1729	695491	729	OF	R	22	StL	Joshua	Baez					2.10					-2	-5	-5	4	11	12
1730	663494	730	OF	L	28	StL	Bryan	Torres					2.10					3	7	13	-12	-23	-45
1731	815829	731	OF	L	19	StL	Ryan(round/2/2025/MLB/draft)	Mitchell					2.10					3	7	13	-12	-23	-45
1732	834240	732	OF	R	22	SD	Ryan(round/3/2025/MLB/draft)	Wideman					2.10					-2	-5	-5	4	11	12
1733	815589	733	OF	L	23	SF	Bo	Davidson					2.10					3	7	13	-12	-23	-45
1734	701906	734	OF	L	22	SF	Trevor(round/3/2025/MLB/draft)	Cohen					2.10					3	7	13	-12	-23	-45
1735	681047	735	OF	R	26	Was	Christian	Franklin					2.10					-2	-5	-5	4	11	12
1736	656941	736	DH	L	33	Phi	Kyle	Schwarber										-6	-2	-4	13	6	8
1737	660271	737	DH	L	31	LAD	Shohei	Ohtani-H										3	11	21	-6	-28	-52
1738	680728	738	DH	L	26	Ari	Adrian	DelCastillo										2	5	13	-8	-20	-47
1739	694208	739	DH	L	22	ChN	Moises	Ballesteros										4	7	14	-15	-24	-50
1740	676724	740	DH	L	30	NYN	Jared	Young										2	5	13	-8	-19	-47
1741	592178	741	DH	R	34	Col	Kris	Bryant										2	1	1	-6	-2	-2
1742	673490	742	SS	R	30	Atl	Ha-seong(hurt/2026)	Kim				4.73						-4	-6	-5	11	15	13
1743	506433	743	P	R	39	SD	Yu(out/2026)	Darvish
1744	656731	744	P	R	30	NYN	Tylor(out/2026)	Megill
1745	700363	745	P	R	23	Atl	AJ(injured/2026)	Smith-Shawver
1746	694358	746	P	R	24	StL	Tekoah(out/2026)	Roby
1747	678692	747	SR	R	25	Mia	Ronny(out/2026)	Henriquez
1748	657585	748	SR	R	33	NYN	Reed(out/2026)	Garrett
1749	678495	749	SR	R	26	SF	Randy(out/2026)	Rodriguez
1750	673380	750	SR	R	29	NYN	Dedniel(out/2026)	Nunez
1751	640462	751	SR	L	31	Ari	A.J.(injured/2026)	Puk
1752	701328	752	P	L	22	LAD	Jackson	Ferris
1753	815906	753	SS	R	19	Was	Angel	Feliz				4.75						-2	-5	-5	4	11	12
1754	695501	754	1B	L	23	Mil	Blake	Burke	1.85									3	7	13	-12	-23	-45
1755	681198	755	1B	L	25	Col	TJ	Rumfield	1.85									3	7	13	-12	-23	-45
1756	814492	756	P	R	23	NYN	Will	Watson
1757		757	SR	L	29	Cin	Brock	Burke
1758	624512	758	C	L	31	Mil	Reese	McGuire						0.66	0.20	0.69	0.20	3	7	8	-12	-25	-31
1759	670766	759	P	R	30	Cin	Darren	McCaughan
1760	518886	760	SR	R	37	NYN	Craig	Kimbrel
1761	828667	761	OF	L	19	LAD	Ching-Hsien	Ko					2.10					3	7	13	-12	-23	-45
1762		762	P	R	21	LAD	Christian	Zazueta
1763	813916	763	SS	R	20	LAD	Kellon	Lindsey				4.75						-2	-5	-5	4	11	12
1764	806959	764	SS	R	20	LAD	Joendry	Vargas				4.75						-2	-5	-5	4	11	12
1765	806077	765	OF	L	21	LAD	Kendall	George					2.10					3	7	13	-12	-23	-45
1766		766	P	L	21	LAD	Adam	Serwinowski
1767	605131	767	C	R	36	NYN	Austin	Barnes						0.83	0.19	0.87	0.19	-5	-8	-10	13	20	24
1768	666277	768	P	R	27	Was	George	Soriano
1769		769	SR	L	27	LAD	Jack	Dreyer
1770	553993	770	3B	R	34	Cin	Eugenio	Suarez			2.62							5	-3	6	-11	7	-15
1771	650333	771	1B	L	28	SF	Luis	Arraez	1.82									8	11	18	-21	-31	-50
1772		772	1B	R	20	Pit	Tony	Blanco	1.85									-2	-5	-5	4	11	12
1773	690971	773	OF	L	24	StL	Chase	Davis					2.10					3	7	13	-12	-23	-45
1774	807276	774	OF	L	21	Phi	Dante	Nori					2.10					3	7	13	-12	-23	-45
1775		775	1B	R	24	Phi	Keaton	Anthony	1.85									-2	-5	-5	4	11	12
1776		776	P	R	20	Phi	Ramon	Marquez
1777		777	P	R	21	Phi	Sean	Youngerman
1778		778	P	R	22	Phi	Cody	Bowker
1779	680911	779	2B	R	29	ChN	Owen	Miller		4.25								1	-2	-1	-1	5	3
1780	666197	780	SS	R	28	NYN	Grae	Kessinger				4.75						-2	-5	-5	4	12	13
1781	608344	781	P	L	32	LAD	Cole	Irvin
1782	664238	782	2B	R	33	Phi	Dylan	Moore		4.28			2.03					1	-7	-3	-1	13	6
1783	674441	783	OF	L	28	Mil	Jacob	Hurtubise					2.09					3	6	12	-10	-23	-41
1784		784	C	B	24	ChN	Owen	Ayers						0.72	0.21	0.75	0.21	-3	0	-3	9	0	7
